Client Name,Client Code,Entry Date,Entered by ,Industry,Sub Industry,What do they do,Territory,Pursued Opportunity Value,Incorporation Type,Listed Company,Market Cap,Annual Revenue,Classification,Employee Strength,IT Employee Strength,Primary Relationship Holder,Secondary Relationship Holder,Relationship Status,Lifetime Value,Priority
Aamal Company,Q-Aamal,13/02/25,Praveen Gangadhar,MIC : Multi Industry Conglomorate,Multibusiness,"Listed in QSE - one of the region's largest family business - 32 business - cleaning, hotel and hospitality services, waste collection and disposal ","Doha, Qatar",0,Publicly Listed,Listed,Not Applicable,570 Million $,SILVER (500-1B$),"3,800+ Employees",Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Abdullah Abdulghani & Bros.,Q-AAG,13/02/25,Praveen Gangadhar,MIC : Multi Industry Conglomorate,Multibusiness,Sole Distributer of Toyota and Lexus,"Doha, Qatar",0,Family Owned,Unlisted,Not Applicable,Not Disclosed,BRONZE (100-500M $),"3,200+ Employees",Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Abu Issa Group,Q-Abuissa,13/02/25,Praveen Gangadhar,MIC : Multi Industry Conglomorate,Multibusiness,"Luxury goods, Consumer Goods, Toys distribution - 100 retail stores in Qatar","Doha, Qatar",0,Family Owned,Unlisted,Not Applicable,700 Million,SILVER (500-1B$),"4,000+ Employees",Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Advisory Council ,Q-Shura,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Government Department,"Also Shura Council, legislative body of the State of Qatar.","Doha, Qatar",0,Government Body,Unlisted,Not Applicable,Not Applicable,COPPER (50M-100M $),100+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
AECOM,Q-Aecom,13/02/25,Praveen Gangadhar,REC : Real Estate and Construction,Others,"Global infrastructure consulting firm, expanded its services by acquiring Davis Langdon, a renowned cost and project management consultancy","Doha, Qatar",0,Independent,Unlisted,Not Applicable,16 Billion $ (Global),PLATINUM (10B$ +),800+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Ahli Bank,Q-AhliBank,13/02/25,Praveen Gangadhar,"BFSI : Banking, financial services and Insurance ",Banking,"Corporate Banking, Retail & Private Banking, International Banking, Treasury & Investments and Brokerage Services.","Doha, Qatar",0,Publicly Listed,Listed,2.5 Billion $,350 Million $,BRONZE (100-500M $),200+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,Cold - Some relationships exists,0,Low
Al Emadi Hospital,Q-AlEmadi,13/02/25,Praveen Gangadhar,HCLS : Healthcare and Life Sciences,Hospitals -  100+ Beds,Top Private hospital of Qatar - 150 beds,"Doha, Qatar",0,Independent,Unlisted,Not Applicable,15 Million $,LEAD (0-20M),100+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Al Faisal Holding,Q-AlFaisal,13/02/25,Praveen Gangadhar,MIC : Multi Industry Conglomorate,Multibusiness,"Property, Hospitality, Trading, Transport, Education, Services, and Information Technology","Doha, Qatar",0,Family Owned,Unlisted,Not Applicable,11.1 Million $ ,LEAD (0-20M),"3,000 Employees",Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Al Faleh Educational Holding,Q-Alfaleh,13/02/25,Praveen Gangadhar,NP&S : Not Profit and Services,Universities & Education,They run schools and academies,"Doha, Qatar",0,Publicly Listed,Listed,47 Million $,31 Million $,NICKEL (20M-50M $),330+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Al Fardan Group,Q-AlFardan,13/02/25,Praveen Gangadhar,MIC : Multi Industry Conglomorate,Multibusiness,"Construction and Contracting,Real Estate, Trading and Investment, Hospitality and Services.","Doha, Qatar",0,Family Owned,Unlisted,Not Applicable,100-500 Million $,BRONZE (100-500M $),600+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Al Jassra Group,Q-AlJassra,13/02/25,Praveen Gangadhar,MIC : Multi Industry Conglomorate,Multibusiness,"Facilities Management, Security Services, Corporate Services (Office Space, Incorporation)","Doha, Qatar",0,Family Owned,Unlisted,Not Applicable,500 Million $,SILVER (500-1B$),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
